fips	tvotes	clintonpct	sanderspct	undervt	ratio
22051	25959	0.677260295	0.270580531	0.052159174	1.03681762
37083	9325	0.667453083	0.248042895	0.084504021	1.037784396
37003	2508	0.457735247	0.447767145	0.094497608	1.042472015
4009	1845	0.491598916	0.443902439	0.064498645	1.043060603
22073	11439	0.78634496	0.157618673	0.056036367	1.043437643
37091	4334	0.675126904	0.221735118	0.103137979	1.043509902
37157	8213	0.543528552	0.365274565	0.091196883	1.047264833
37143	1382	0.51447178	0.34804631	0.13748191	1.051395844
37041	1576	0.618020305	0.29822335	0.083756345	1.052155016
4011	911	0.545554336	0.356750823	0.097694841	1.053618051
37181	7129	0.639781175	0.280403984	0.079814841	1.062732921
37065	9053	0.70816304	0.227327958	0.064509003	1.063697863
37029	864	0.541666667	0.344907407	0.113425926	1.06742755
37013	5274	0.556313993	0.348881305	0.094804702	1.076132249
40119	6749	0.388502	0.56734331	0.04415469	1.077383255
22069	3736	0.68120985	0.226445396	0.092344754	1.077513363
37039	2334	0.438731791	0.437446444	0.123821765	1.083750268
37171	5014	0.474670921	0.439569206	0.085759872	1.084845533
37145	5788	0.510366275	0.371458189	0.118175536	1.086841426
12039	9744	0.764162562	0.199507389	0.036330049	1.089964489
22125	1126	0.801065719	0.147424512	0.051509769	1.091270962
37137	1739	0.530189764	0.388729155	0.081081081	1.095860332
37073	1214	0.616968699	0.29324547	0.089785832	1.099549207
22027	1006	0.763419483	0.157057654	0.079522863	1.104069206
12027	1878	0.525559105	0.38658147	0.087859425	1.104385122
22035	577	0.880415945	0.081455806	0.03812825	1.104655199
37131	4669	0.684300707	0.228528593	0.0871707	1.10504751
37045	8728	0.559120073	0.35563703	0.085242896	1.108321627
12075	3138	0.500318674	0.431485022	0.068196303	1.10918161
22103	10475	0.572410501	0.362768496	0.064821002	1.110664675
22055	9923	0.596593772	0.35503376	0.048372468	1.111688388
22067	1920	0.788020833	0.155208333	0.056770833	1.113529857
37015	2973	0.694584595	0.254288597	0.051126808	1.113893099
37033	2843	0.598311643	0.31129089	0.090397467	1.116840982
37123	2490	0.548594378	0.355421687	0.095983936	1.117329629
22015	4389	0.66507177	0.270448849	0.06447938	1.121850725
37007	3492	0.660652921	0.261741123	0.077605956	1.123281322
37161	5182	0.459668082	0.44500193	0.095329988	1.123645633
37061	4963	0.611726778	0.292161999	0.096111223	1.124623048
22037	2381	0.775724486	0.145737085	0.078538429	1.131546038
37107	7375	0.641491525	0.264	0.094508475	1.132323448
22091	1680	0.8375	0.110714286	0.051785714	1.135063619
37153	5148	0.571289821	0.30982906	0.118881119	1.146504659
37075	725	0.442758621	0.406896552	0.150344828	1.147147297
22031	1955	0.771355499	0.162659847	0.065984655	1.150976621
22013	1373	0.769118718	0.161689731	0.069191551	1.155535721
37103	1568	0.580357143	0.319515306	0.100127551	1.159793553
22081	704	0.752840909	0.166193182	0.080965909	1.16140055
22101	2736	0.729166667	0.195540936	0.075292398	1.173523807
